id,Station,Benzene,CO,PM10,PM2.5,NO2,Datetime
1,Araçatuba,,,30,,,7,2013-05-08 1:00:00
2,Araçatuba,,,30,,,6,2013-05-08 2:00:00
3,Araçatuba,,,31,,,6,2013-05-08 3:00:00
4,Araçatuba,,,31,,,4,2013-05-08 4:00:00
5,Araçatuba,,,32,,,4,2013-05-08 5:00:00
6,Araçatuba,,,35,,,5,2013-05-08 6:00:00
7,Araçatuba,,,38,,,5,2013-05-08 7:00:00
8,Araçatuba,,,40,,,5,2013-05-08 8:00:00
9,Araçatuba,,,40,,,4,2013-05-08 9:00:00
10,Araçatuba,,,41,,,4,2013-05-08 10:00:00
11,Araçatuba,,,43,,,,2013-05-08 11:00:00
12,Araçatuba,,,43,,,,2013-05-08 12:00:00
13,Araçatuba,,,43,,,,2013-05-08 13:00:00
14,Araçatuba,,,43,,,15,2013-05-08 14:00:00
15,Araçatuba,,,43,,,19,2013-05-08 15:00:00
16,Araçatuba,,,44,,,24,2013-05-08 16:00:00
17,Araçatuba,,,45,,,27,2013-05-08 17:00:00
18,Araçatuba,,,45,,,27,2013-05-08 18:00:00
19,Araçatuba,,,46,,,24,2013-05-08 19:00:00
20,Araçatuba,,,46,,,22,2013-05-08 20:00:00
21,Araçatuba,,,46,,,20,2013-05-08 21:00:00
22,Araçatuba,,,47,,,17,2013-05-08 22:00:00
23,Araçatuba,,,47,,,14,2013-05-08 23:00:00
24,Araçatuba,,,47,,,11,2013-05-08 0:00:00
25,Araraquara,,,28,,,11,2013-05-08 1:00:00
26,Araraquara,,,27,,3,10,2013-05-08 2:00:00
27,Araraquara,,,27,,5,9,2013-05-08 3:00:00
28,Araraquara,,,27,,4,8,2013-05-08 4:00:00
29,Araraquara,,,27,,5,8,2013-05-08 5:00:00
30,Araraquara,,,27,,7,8,2013-05-08 6:00:00
31,Araraquara,,,27,,8,8,2013-05-08 7:00:00
32,Araraquara,,,25,,6,8,2013-05-08 8:00:00
33,Araraquara,,,25,,5,8,2013-05-08 9:00:00
34,Araraquara,,,22,,4,8,2013-05-08 10:00:00
35,Araraquara,,,22,,2,10,2013-05-08 11:00:00
36,Araraquara,,,23,,2,14,2013-05-08 12:00:00
37,Araraquara,,,24,,1,18,2013-05-08 13:00:00
38,Araraquara,,,24,,2,20,2013-05-08 14:00:00
39,Araraquara,,,24,,2,25,2013-05-08 15:00:00
40,Araraquara,,,25,,2,29,2013-05-08 16:00:00
41,Araraquara,,,25,,2,33,2013-05-08 17:00:00
42,Araraquara,,,25,,6,35,2013-05-08 18:00:00
43,Araraquara,,,25,,10,35,2013-05-08 19:00:00
44,Araraquara,,,26,,13,33,2013-05-08 20:00:00
45,Araraquara,,,28,,13,31,2013-05-08 21:00:00
46,Araraquara,,,29,,11,28,2013-05-08 22:00:00
47,Araraquara,,,29,,10,24,2013-05-08 23:00:00
48,Araraquara,,,30,,10,20,2013-05-08 0:00:00
49,Bauru,,,29,,,12,2013-05-08 1:00:00
50,Bauru,,,29,,3,10,2013-05-08 2:00:00
51,Bauru,,,28,,2,10,2013-05-08 3:00:00
52,Bauru,,,28,,2,10,2013-05-08 4:00:00
53,Bauru,,,27,,2,9,2013-05-08 5:00:00
54,Bauru,,,26,,2,8,2013-05-08 6:00:00
55,Bauru,,,26,,6,8,2013-05-08 7:00:00
56,Bauru,,,26,,7,8,2013-05-08 8:00:00
57,Bauru,,,26,,3,7,2013-05-08 9:00:00
58,Bauru,,,27,,3,8,2013-05-08 10:00:00
59,Bauru,,,26,,2,10,2013-05-08 11:00:00
60,Bauru,,,26,,2,11,2013-05-08 12:00:00
61,Bauru,,,26,,2,12,2013-05-08 13:00:00
62,Bauru,,,27,,1,14,2013-05-08 14:00:00
63,Bauru,,,26,,2,17,2013-05-08 15:00:00
64,Bauru,,,27,,2,20,2013-05-08 16:00:00
65,Bauru,,,27,,3,22,2013-05-08 17:00:00
66,Bauru,,,27,,8,22,2013-05-08 18:00:00
67,Bauru,,,27,,14,20,2013-05-08 19:00:00
68,Bauru,,,28,,12,18,2013-05-08 20:00:00
69,Bauru,,,27,,9,16,2013-05-08 21:00:00
70,Bauru,,,28,,11,12,2013-05-08 22:00:00
71,Bauru,,,29,,7,9,2013-05-08 23:00:00
72,Bauru,,,28,,6,6,2013-05-08 0:00:00
73,Campinas-Centro,,3,32,,,,2013-05-08 1:00:00
74,Campinas-Centro,,3,31,,,,2013-05-08 2:00:00
75,Campinas-Centro,,2,32,,,,2013-05-08 3:00:00
76,Campinas-Centro,,2,32,,,,2013-05-08 4:00:00
77,Campinas-Centro,,2,32,,,,2013-05-08 5:00:00
78,Campinas-Centro,,2,32,,,,2013-05-08 6:00:00
79,Campinas-Centro,,2,33,,,,2013-05-08 7:00:00
80,Campinas-Centro,,2,33,,,,2013-05-08 8:00:00
81,Campinas-Centro,,3,34,,,,2013-05-08 9:00:00
82,Campinas-Centro,,3,32,,,,2013-05-08 10:00:00
83,Campinas-Centro,,4,31,,,,2013-05-08 11:00:00
84,Campinas-Centro,,4,29,,,,2013-05-08 12:00:00
85,Campinas-Centro,,4,29,,,,2013-05-08 13:00:00
86,Campinas-Centro,,4,29,,,,2013-05-08 14:00:00
87,Campinas-Centro,,4,29,,,,2013-05-08 15:00:00
88,Campinas-Centro,,4,28,,,,2013-05-08 16:00:00
89,Campinas-Centro,,3,29,,,,2013-05-08 17:00:00
90,Campinas-Centro,,4,29,,,,2013-05-08 18:00:00
91,Campinas-Centro,,4,29,,,,2013-05-08 19:00:00
92,Campinas-Centro,,4,29,,,,2013-05-08 20:00:00
93,Campinas-Centro,,5,29,,,,2013-05-08 21:00:00
94,Campinas-Centro,,5,29,,,,2013-05-08 22:00:00
95,Campinas-Centro,,5,29,,,,2013-05-08 23:00:00
96,Campinas-Centro,,5,29,,,,2013-05-08 0:00:00
97,Capão Redondo,,,32,,,8,2013-05-08 1:00:00
98,Capão Redondo,,,32,,,7,2013-05-08 2:00:00
99,Capão Redondo,,,32,,,8,2013-05-08 3:00:00
100,Capão Redondo,,,31,,,8,2013-05-08 4:00:00
101,Capão Redondo,,,31,,,9,2013-05-08 5:00:00
102,Capão Redondo,,,31,,,10,2013-05-08 6:00:00
103,Capão Redondo,,,30,,,10,2013-05-08 7:00:00
104,Capão Redondo,,,29,,,10,2013-05-08 8:00:00
105,Capão Redondo,,,28,,,10,2013-05-08 9:00:00
106,Capão Redondo,,,27,,,10,2013-05-08 10:00:00
107,Capão Redondo,,,26,,,11,2013-05-08 11:00:00
108,Capão Redondo,,,26,,,12,2013-05-08 12:00:00
109,Capão Redondo,,,26,,,14,2013-05-08 13:00:00
110,Capão Redondo,,,26,,,15,2013-05-08 14:00:00
111,Capão Redondo,,,25,,,18,2013-05-08 15:00:00
112,Capão Redondo,,,25,,,20,2013-05-08 16:00:00
113,Capão Redondo,,,24,,,21,2013-05-08 17:00:00
114,Capão Redondo,,,24,,,21,2013-05-08 18:00:00
115,Capão Redondo,,,20,,,20,2013-05-08 19:00:00
116,Capão Redondo,,,17,,,17,2013-05-08 20:00:00
117,Capão Redondo,,,17,,,15,2013-05-08 21:00:00
118,Capão Redondo,,,17,,,12,2013-05-08 22:00:00
119,Capão Redondo,,,18,,,9,2013-05-08 23:00:00
120,Capão Redondo,,,18,,,6,2013-05-08 0:00:00
121,Carapicuíba,,4,,,,6,2013-05-08 1:00:00
122,Carapicuíba,,4,,,,4,2013-05-08 2:00:00
123,Carapicuíba,,3,,,,5,2013-05-08 3:00:00
124,Carapicuíba,,3,,,,6,2013-05-08 4:00:00
125,Carapicuíba,,2,,,,7,2013-05-08 5:00:00
126,Carapicuíba,,2,,,,8,2013-05-08 6:00:00
127,Carapicuíba,,1,,,,8,2013-05-08 7:00:00
128,Carapicuíba,,1,,,,8,2013-05-08 8:00:00
129,Carapicuíba,,1,,,,9,2013-05-08 9:00:00
130,Carapicuíba,,1,,,,10,2013-05-08 10:00:00
131,Carapicuíba,,1,,,,10,2013-05-08 11:00:00
132,Carapicuíba,,1,,,,11,2013-05-08 12:00:00
133,Carapicuíba,,1,,,,13,2013-05-08 13:00:00
134,Carapicuíba,,1,,,,15,2013-05-08 14:00:00
135,Carapicuíba,,1,,,,18,2013-05-08 15:00:00
136,Carapicuíba,,1,,,,21,2013-05-08 16:00:00
137,Carapicuíba,,1,,,,23,2013-05-08 17:00:00
138,Carapicuíba,,1,,,,23,2013-05-08 18:00:00
139,Carapicuíba,,2,,,,21,2013-05-08 19:00:00
140,Carapicuíba,,2,,,,18,2013-05-08 20:00:00
141,Carapicuíba,,2,,,,16,2013-05-08 21:00:00
142,Carapicuíba,,3,,,,12,2013-05-08 22:00:00
143,Carapicuíba,,3,,,,8,2013-05-08 23:00:00
144,Carapicuíba,,4,,,,5,2013-05-08 0:00:00
145,Catanduva,,,40,,,12,2013-05-08 1:00:00
146,Catanduva,,,43,,8,9,2013-05-08 2:00:00
147,Catanduva,,,45,,5,7,2013-05-08 3:00:00
148,Catanduva,,,45,,5,6,2013-05-08 4:00:00
149,Catanduva,,,45,,5,4,2013-05-08 5:00:00
150,Catanduva,,,45,,3,3,2013-05-08 6:00:00
151,Catanduva,,,45,,5,1,2013-05-08 7:00:00
152,Catanduva,,,45,,7,0,2013-05-08 8:00:00
153,Catanduva,,,44,,7,0,2013-05-08 9:00:00
154,Catanduva,,,41,,,2,2013-05-08 10:00:00
155,Catanduva,,,40,,3,4,2013-05-08 11:00:00
156,Catanduva,,,40,,2,7,2013-05-08 12:00:00
157,Catanduva,,,39,,2,11,2013-05-08 13:00:00
158,Catanduva,,,38,,,13,2013-05-08 14:00:00
159,Catanduva,,,37,,2,16,2013-05-08 15:00:00
160,Catanduva,,,37,,3,20,2013-05-08 16:00:00
161,Catanduva,,,37,,4,24,2013-05-08 17:00:00
162,Catanduva,,,38,,9,25,2013-05-08 18:00:00
163,Catanduva,,,39,,15,24,2013-05-08 19:00:00
164,Catanduva,,,39,,11,22,2013-05-08 20:00:00
